Bundesland	Region	Land
Baden-Wuerttemberg	Sueden	Deutschland
Baden-Wuerttemberg	Bundesweit	Deutschland
Bayern	Sueden	Deutschland
Bayern	Bundesweit	Deutschland
Berlin	Osten	Deutschland
Berlin	Bundesweit	Deutschland
Brandenburg	Osten	Deutschland
Brandenburg	Bundesweit	Deutschland
Bremen	Norden (West)	Deutschland
Bremen	Bundesweit	Deutschland
Hamburg	Norden (West)	Deutschland
Hamburg	Bundesweit	Deutschland
Hessen	Mitte (West)	Deutschland
Hessen	Bundesweit	Deutschland
Mecklenburg-Vorpommern	Osten	Deutschland
Mecklenburg-Vorpommern	Bundesweit	Deutschland
Niedersachsen	Norden (West)	Deutschland
Niedersachsen	Bundesweit	Deutschland
Nordrhein-Westfalen	Mitte (West)	Deutschland
Nordrhein-Westfalen	Bundesweit	Deutschland
Rheinland-Pfalz	Mitte (West)	Deutschland
Rheinland-Pfalz	Bundesweit	Deutschland
Saarland	Mitte (West)	Deutschland
Saarland	Bundesweit	Deutschland
Sachsen	Osten	Deutschland
Sachsen	Bundesweit	Deutschland
Sachsen-Anhalt	Osten	Deutschland
Sachsen-Anhalt	Bundesweit	Deutschland
Schleswig-Holstein	Norden (West)	Deutschland
Schleswig-Holstein	Bundesweit	Deutschland
Thueringen	Osten	Deutschland
Thueringen	Bundesweit	Deutschland
